URL,Requests- Basic,Requests-with-Header,selenium-basic,selenium-with-header,Selenium Headless,Selenium-headless-window-size,Undetected-Chrome-Driver,
https://www.morningstar.com/,No,No,No,No,Yes,Yes,Yes,
https://www.moviefone.com/,No,No,Yes,Yes,Yes,Yes,Yes,
https://www.myntra.com/,No,No,No,No,No,No,Yes,
https://www.olx.in/,No,No,Yes,Yes,No,No,Yes,
https://www.proptiger.com/,No,No,No,No,Yes,Yes,Yes,
https://www.quikr.com/,No,No,No,No,Yes,Yes,Yes,
https://www.realtor.com/,No,No,No,No,Yes,Yes,Yes,
https://www.remax.com/ ,No,No,No,No,Yes,Yes,Yes,
https://www.researchgate.net/,No,No,No,Yes,Yes,Yes,Yes,
https://www.rogerebert.com/,No,No,No,No,Yes,Yes,Yes,
https://www.rottentomatoes.com/,No,No,No,No,Yes,Yes,Yes,
https://www.screener.in/,No,No,No,No,Yes,Yes,Yes,
https://www.shmoop.com/,No,No,No,No,Yes,Yes,Yes,
https://www.snapdeal.com/,No,No,Yes,Yes,Yes,Yes,Yes,
https://www.squareyards.com/,No,No,No,No,Yes,Yes,Yes,
https://www.target.com/,No,No,No,No,Yes,Yes,No,
https://www.ted.com/,No,No,No,No,Yes,Yes,Yes,
https://www.themoviedb.org/,No,No,Yes,Yes,No,No,Yes,
https://www.tickertape.in/,No,No,No,Yes,Yes,Yes,Yes,
https://www.trulia.com/,No,No,No,No,No,No,No,
https://www.tutorialspoint.com/index.htm,No,No,Yes,Yes,Yes,Yes,Yes,
https://www.udemy.com/,No,No,Yes,Yes,No,No,Yes,
https://www.w3schools.com/,No,No,No,No,Yes,Yes,Yes,
https://www.walmart.com/,No,No,No,No,Yes,Yes,Yes,
https://www.yahoo.com/entertainment/movies/,No,No,Yes,Yes,Yes,Yes,Yes,
https://www.zricks.com/,No,No,No,No,Yes,Yes,Yes,
,,,,,,,,
,,,,,,,,
,Excluding Timeout,,,,,,,
,Tools,Data Extracted,Data Not Extracted,,,,,
,Requests- Basic,6,114,,,,Data Extracted,Data Not Extracted
,Requests-with-Header,10,110,,,,6,114
,selenium-basic,40,80,,,,10,110
,Selenium- headless,52,68,,,,65,55
,selenium-with-header,58,62,,,,75,45
,Selenium- headless- widow-size,58,62,,,,117,3
,Undetected Chrome driver,86,34,,,,,
,Including Timeout ,,,,,,,
,,,,,,,,
,Selenium basic,,,65,,(40+25),,
,Selenium basic,Header,,75,,(58+17,,
,Undetectded Chrome driver,,,31,,(86+31),,
